approach;change_type;is_trend;window;cp_prob;is_multiplicative;change_point;ROC AUC;N_positive;ROC AUC lower;ROC AUC higher
approximation_mean;mean;False;72;0,8;False;396;0,5192630016281965;394;0,4578090292747792;0,5807169739816138
approximation_mean;trend;False;72;0,8;False;396;0,49856936734244695;397;0,43590751496180546;0,5612312197230884
approximation_mean;local;False;72;0,8;False;396;0,18545196771169192;387;0,1350035713356352;0,23590036408774864
approximation_mean;mean;True;72;0,8;False;396;0,5140381092976845;411;0,4482537653486078;0,5798224532467611
approximation_mean;trend;True;72;0,8;False;396;0,5187619368610269;414;0,4522551596585004;0,5852687140635534
approximation_mean;local;True;72;0,8;False;396;0,519733297413793;384;0,460209734483433;0,5792568603441531
prediction_mean;mean;False;72;0,8;False;396;0,41048892919217106;401;0,345952135027541;0,4750257233568011
prediction_mean;trend;False;72;0,8;False;396;0,4569126520448233;394;0,39421193443053565;0,5196133696591109
prediction_mean;local;False;72;0,8;False;396;0,706913986882783;417;0,652396530428745;0,7614314433368209
prediction_mean;mean;True;72;0,8;False;396;0,5503705216478002;418;0,4839448635106173;0,6167961797849831
prediction_mean;trend;True;72;0,8;False;396;0,5059982862039417;389;0,4451937436837276;0,5668028287241558
prediction_mean;local;True;72;0,8;False;396;0,684979776173106;399;0,6318960173084227;0,7380635350377893
naive;mean;False;72;0,8;False;396;0,44555284800487355;402;0,3808256788504535;0,5102800171592936
naive;trend;False;72;0,8;False;396;0,3668392730226419;402;0,3025490358755204;0,4311295101697634
naive;local;False;72;0,8;False;396;0,4490430500558433;402;0,3843457547867787;0,5137403453249079
naive;mean;True;72;0,8;False;396;0,4662334063830323;401;0,4019944792874294;0,5304723334786352
naive;trend;True;72;0,8;False;396;0,4948238482384824;410;0,42875604210582696;0,5608916543711379
naive;local;True;72;0,8;False;396;0,5444940476190476;420;0,47714175323373637;0,611846342004359
approximation_trend;mean;False;72;0,8;False;396;0,5356701494214133;414;0,46981437143534754;0,6015259274074791
approximation_trend;trend;False;72;0,8;False;396;0,5060880048221821;395;0,4440552496741128;0,5681207599702514
approximation_trend;local;False;72;0,8;False;396;0,9213960049371521;401;0,8981440426985556;0,9446479671757486
approximation_trend;mean;True;72;0,8;False;396;0,5279395281445638;411;0,4626469918877266;0,593232064401401
approximation_trend;trend;True;72;0,8;False;396;0,4998573161161447;393;0,4380966847745958;0,5616179474576936
approximation_trend;local;True;72;0,8;False;396;0,896785040597064;411;0,8687310055030859;0,9248390756910421
approximation_sin_trend;mean;False;72;0,8;False;396;0,40468766376690074;406;0,3388175717621778;0,4705577557716237
approximation_sin_trend;trend;False;72;0,8;False;396;0,4463966346759365;401;0,38193262307472253;0,5108606462771504
approximation_sin_trend;local;False;72;0,8;False;396;0,6024262582508251;404;0,5425043950405954;0,6623481214610547
approximation_sin_trend;mean;True;72;0,8;False;396;0,3911099615725687;398;0,3274847190288535;0,45473520411628393
approximation_sin_trend;trend;True;72;0,8;False;396;0,4671900783828383;404;0,40219548704500857;0,5321846697206681
approximation_sin_trend;local;True;72;0,8;False;396;0,5832606800348736;407;0,5215611234222766;0,6449602366474707
approximation_sin_insight_trend;mean;False;72;0,8;False;396;0,8541964851357378;391;0,8206276977388663;0,8877652725326092
